"Origin","Cocoa.Percent","Ingredients","Characteristics","Rating"
"Peru","65%",2,"creamy, strawberry, cocoa",3.5
"Bolivia","68%",2,"fatty, nutty, melon like",3.5
"Bolivia","68%",2,"fatty, grassy, cocoa",3.5
"Peru","68%",2,"rich cocoa, spicy edge",3.75
"Blend","85%",4,"harsh burnt, mild cocoa, tang",3
"Sierra Leone","72%",2,"grassy, rubbery, chemical",2.5
"India","72%",2,"basic cocoa, dirty/burnt edge",3
"Vietnam","72%",2,"spicy, sweet, cocoa",3
"Puerto Rico","65%",5,"black pepper, vanilla, harsh",2.5
"U.S.A.","71%",4,"aluminum, mild coffee, roasty",3
"U.S.A.","72%",4,"strong, brandy, smoke",3
"U.S.A.","70%",4,"sandy, floral, vanilla, candy",3.5
"U.S.A.","65%",4,"sweet, candy-like, nutty",3.25
"U.S.A.","70%",2,"spicy, candied, complex",3.75
"U.S.A.","75%",4,"dairy, pudding",3.75
"Bolivia","70%",3,"sweet, sl. smokiness, fruit",2.75
"Belize","75%",3,"cherry, fatty, cocoa",3
"Nicaragua","75%",2,"multiple off flavors, metallic",2
"Nicaragua","75%",2,"potting soil",2.5
"Sumatra","70%",2,"smokey, earthy, cocoa",3
"Nicaragua","80%",2,"nutty, mild dairy",3.25
"Nicaragua","78%",2,"intense mocha flavor",3.5
"Brazil","81%",2,"oily, burnt, earthy",3.25
"Brazil","70%",2,"rustic, basic cocoa, earthy",3
"Brazil","70%",3,"mild sweet honey, rum, off",3.25
"Papua New Guinea","72%",3,"smoke, fruit, ham, fatty",3.25
"Blend","46%",5,"very sweet, caramel, candy",2.75
"Blend","60%",5,"sticky, marshmallow, cocoa",3
"Blend","58%",5,"watered down coffee, cocoa",3
"Colombia","65%",5,"marshmallow, rich brownie",3.5
"India","72%",3,"deep cocoa, sl. pungent, sandy",3
"Madagascar","73%",3,"roasted pear, cocoa, sour",3.25
"Tanzania","75%",3,"fatty, dominant roast, spice",3.25
"Uganda","68%",3,"candied, sweet cocoa, roasty",3.25
"Ivory Coast","67%",3,"spice, coconut",3.5
"U.S.A.","70%",3,"distinct, banana, dairy, sl. sweet",3.5
"Peru","55%",NA,"extremely sweet, vanilla",2.25
"Peru","70%",NA,"vanilla, strong chemical",1.5
"Uganda","75%",3,"gritty, roasty, rubbery",2.5
"Ghana","75%",3,"gritty, cocoa base, ashey",2.75
"Madagascar","67%",5,"sandy, red berry, cocoa",3.5
"Madagascar","75%",5,"sticky, bitter, nutty",3.5
"Madagascar","70%",5,"sandy, woody, peanut butter",3.75
"Madagascar","63%",5,"intense, nutty, cocoa",4
"Colombia","70%",2,"very sticky, nutty, woody",2.5
"Mexico","72%",4,"raisiny, chewy",2.75
"Dominican Republic","70%",4,"sandy, sweet, strong vanilla",2.5
"Costa Rica","70%",4,"sticky, strong vanilla, pepper",2.75
"U.S.A.","70%",4,"creamy, vanilla, rich fruit",3.25
"U.S.A.","70%",4,"creamy, burnt nuts, woody",3.25
"U.S.A.","70%",4,"vanilla, brownie, peanut",3.5
"Puerto Rico","70%",4,"intense vanilla, swiss miss",2.75
"U.S.A.","70%",4,"fatty, vanilla, candy-like",2.75
"Mexico","70%",4,"vanilla, earthy, caramel",2.75
"Brazil","70%",4,"strong vanilla, nut, coffee",3.5
"Solomon Islands","73%",2,"mild earthy, mild cocoa, nut",3.5
"Tanzania","75%",4,"chalky, astringent, vanilla",2
"Ecuador","70%",4,"creamy, nutty, mass market",3
"Cuba","70%",5,"nutty, cooling sensation",3.25
"Dominican Republic","70%",5,"creamy, hay, nutty",3.75
"Ecuador","70%",4,"strong vanilla, some spice",2
"Madagascar","75%",4,"cardboard, tea-like",2.75
"Madagascar","73%",4,"creamy, sublte grape notes",3.5
"Philippines","65%",5,"sandy, sweet, cocoa",3.5
"Thailand","70%",3,"gummy, smokey, hammy",2.75
"U.S.A.","55%",5,"sweet, vanilla, easter candy",2.75
"U.S.A.","55%",5,"creamy, crunchy, very sweet",3.5
"Venezuela","70%",3,"hammy, unrecognizable",3
"Dominican Republic","74%",3,"berry, nutty, sour",3.75
"Peru","74%",3,"rubber, off medicinal",2.5
"Venezuela","74%",3,"nutty, green",2.75
"Ecuador","74%",2,"soil, wet, off notes",2.5
"Colombia","70%",4,"muted, nutty",2.75
"U.S.A.","72%",3,"oily, tangy, fruit, earthy",2.75
"Peru","72%",3,"banana, menthol, medicinal",3
"Liberia","72%",3,"molassses, intense, off, herb",3.25
"U.S.A.","72%",3,"molasses, sweet, cocoa",3.25
"U.S.A.","72%",3,"orange, cocoa",3.75
"Papua New Guinea","72%",3,"smoke, fruit",3.5
"Costa Rica","72%",3,"dried fruit, balanced, cocoa",3.75
"Peru","70%",3,"sweet, fatty, fig",3.25
"U.S.A.","70%",3,"dried fruit,spicy,sticky,intense",3.5
"U.S.A.","70%",3,"banana, nutty, floral",3.75
"Dominican Republic","70%",2,"chewy, brownie like",3.25
"Ecuador","70%",2,"grits, roaste brownie",3.25
"Ghana","70%",2,"cocoa, coconut",3.5
"Colombia","85%",2,"coarse, intense, nutty",3.5
"Venezuela","70%",2,"nutty, intense, roasty",3.75
"Peru","70%",3,"nutty, roasty,",3.5
"Nicaragua","70%",3,"basic, balanced, deep cocoa",3.75
"Trinidad","70%",3,"heavy roast, few grits, rich",2.75
"Colombia","75%",3,"roasty, coffee, rubber",2.75
"Tanzania","72%",3,"sweet, fatty, roasty",3
"Dominican Republic","70%",3,"fruity, tangy, cocoa",3.5
"Peru","62%",3,"delicate, caramel, peanut",3.5
"Ecuador","70%",3,"coarse, floral, rum",3.5
"Nicaragua","70%",3,"rich, bright fruit",3.5
"Peru","68%",3,"lemon, spicy, cocoa",3.5
"Honduras","78%",3,"grassy, woody, sweet",3.5
"Vietnam","75%",3,"intense, sour, tart",3.25
"Vietnam","73%",2,"earthy, tobacco, ashey",3
"Blend","72%",3,"off notes, rubbery, hammy",3
"Mexico","72%",3,"sweet, spicy, dirty",3.25
"Dominican Republic","72%",3,"complex, creamy, cherry",3.5
"Peru","70%",3,"smokey, dirty, sour",2.75
"Peru","80%",3,"smoked nuts, tang",3.25
"Peru","70%",3,"mild orange, herbaceous",3.5
"Mexico","72%",3,"earthy, musty, sweet",2.75
"Bolivia","72%",3,"floral, earthy, acidic, harsh",2.75
"Brazil","72%",3,"delicate, nutty, butterscotch",3.25
"Blend","75%",2,"earthy, coffee, roasty",3.25
"Haiti","75%",2,"dried fruit, woody, dirty",2.75
"Haiti","65%",3,"hammy, sweet, roasty",2.75
"Vietnam","80%",3,"creamy, fatty, black pepper",3
"Vietnam","76%",3,"citrus",3.5
"Vietnam","72%",3,"roasty, coffee",3.5
"Vietnam","70%",3,"cocoa, spice, late sour",3.5
"Vietnam","78%",3,"sticky, pepper, cinamon, rich",3.5
"Vietnam","74%",3,"melon, roasty",3.5
"Vietnam","75%",3,"fatty, heavy roast, nutty",3.5
"Vietnam","85%",2,"long, mild honey, rich cocoa",3.25
"Vietnam","68%",2,"roasty, rich, coffee, nut",3.5
"Vietnam","70%",2,"spicy and fragrant",3.75
"Vietnam","75%",3,"fatty, roasty, nutty",3.5
"Costa Rica","65%",NA,"intense orange, floral",3
"Ivory Coast","65%",NA,"chewy, earthy, spicy",3
"Nigeria","65%",NA,"cocoa, earth, wheat",3.25
"Ghana","65%",NA,"intense, dark berry, cocoa",3.5
"Dominican Republic","74%",4,"waxy, rubber, medicinal",2.25
"Dominican Republic","89%",4,"fatty, rubber, medicinal",2.5
"Bolivia","76%",3,"sticky, pungent, off note",2.75
"Haiti","82%",3,"sandy, earthy, sweet edge",3
"Colombia","74%",3,"sandy, mild floral, mild nutty",3.25
"Venezuela","81%",2,"sticky, woody, musty",2.75
"Venezuela","75%",2,"dry, sticky, nutty, earthy",3
"Dominican Republic","70%",2,"sticky, earthy, coffee",3.25
"Venezuela","81%",2,"gritty, high astringent, sour",2.75
"Papua New Guinea","71%",2,"gritty, sticky, smoke,hammy",2.75
"Venezuela","76%",2,"sandy, strawberry, sour",3
"Venezuela","70%",2,"dry, sandy, intense, berry",3
"Peru","75%",2,"orange,lemon,coffee ground",3
"Dominican Republic","73%",2,"dry, gritty, red berry, coffee",3.25
"Blend","72%",2,"rich cocoa, coffee, roasty",3.5
"Belize","70%",2,"gritty, tangy, cocoa",3.5
"Dominican Republic","74%",2,"gritty, raspberry, sour",3.75
"Blend","72%",2,"gritty, overly tart, sour",2.5
"Venezuela","73%",2,"gritty, sour, sweet",2.75
"Blend","73%",2,"gritty, fruit, tart, rich",3.5
"Blend","75%",2,"tart, deep choco",3.75
"Guatemala","76%",2,"mild bitter, citrus, intense",3
"Tanzania","74%",2,"green, vegetal, mild spice",3.25
"Vanuatu","72%",3,"sticky, butterscotch, nutty",3.5
"Blend","70%",3,"nutty, fruity, spicy",3.75
"Madagascar","68%",3,"sticky, red fruit",4
"Papua New Guinea","74%",3,"creamy, grassy, smoke, nut",4
"U.S.A.","70%",3,"sweet, banana, mild sour orange",3.5
"Belize","70%",2,"heavy roast, smoke",3.25
"Dominican Republic","70%",2,"roasty, coffee",3.25
"Peru","82%",2,"intense, burnt, bitter, spice",3.25
"Peru","63%",3,"sweet, cherry, cream, raisin",3.5
"U.S.A.","70%",3,"nutty, cheese, savory",3
"Vietnam","75%",3,"roasty, hammy, dirty",3
"Madagascar","65%",3,"sweet edge, sour fruit",3.25
"Dominican Republic","72%",2,"gritty, sweet, earthy",3
"Guatemala","70%",3,"musty, woody, rubbery, roasty",2.5
"Belize","70%",3,"cocoa, strawberry",3.25
"Madagascar","75%",3,"sl. Fruity, burnt raspberry",3
"Vietnam","70%",3,"cashew, cheese, molasses",3
"Tanzania","70%",3,"sl. Nutty, mild cherry, cocoa",3.5
"Bolivia","70%",2,"pungent, off",2.5
"Venezuela","70%",2,"molasses, sweet, choco",2.75
"Belize","70%",2,"spicy, metallic, molasses",3
"Nicaragua","70%",2,"fatty, sligthly bland, earthy",3
"Dominican Republic","70%",2,"high roast, nutty, deep choco",3.5
"Ecuador","85%",2,"floral, earthy, bitter",2.5
"Dominican Republic","70%",2,"dry, floral, dirty, coconut",2.75
"Philippines","70%",2,"smooth, coconut, cocoa",3.25
"Tanzania","70%",2,"creamy, coconut, cocoa",3.25
"Madagascar","80%",4,"sticky, tart, slight burnt",2.5
"Madagascar","72%",4,"uneven, smokey, hammy",2.5
"Honduras","72%",4,"chewy, woody, off notes",2.5
"Honduras","80%",3,"intense, ham, butterscotch",3.25
"Nicaragua","70%",3,"acidic, pomegrant, brownie",3.25
"Honduras","70%",3,"intense, grassy, spicy, rich",3.5
"Nicaragua","80%",3,"dried fruit, rich cocoa",3.5
"El Salvador","80%",3,"fatty, bitter, woody, roasty",2.75
"El Salvador","70%",3,"dairy, caramel",3
"Brazil","75%",3,"earthy, floral, rubbery",2.5
"Brazil","70%",3,"fatty, creamy, olive",3
"Madagascar","72%",3,"creamy, fatty, mild cherry",3.5
"Solomon Islands","72%",3,"roasty/smokey, high acidity",3.25
"Solomon Islands","67%",3,"dried fruit, mild hammy",3.75
"Blend","70%",3,"accesible, simple cocoa note",3.5
"Peru","70%",3,"grape, mild smoke, sandy",3.5
"Peru","72%",3,"pungent, grape, apricot",3
"Blend","60%",4,"sweet, crisp nibs",2
"Blend","85%",4,"bitter coffee flavor",2
"Blend","99%",4,"smooth, bold, bitter",2
"Sao Tome","70%",4,"creamy, licorice, herbs",3
"Dominican Republic","67%",4,"creamy, raisins, licorice",3.75
"Madagascar","65%",4,"grapefruit, spices",3.75
"Papua New Guinea","64%",4,"tropical fruit and mild smoke",3.75
"Venezuela","66%",4,"cocoa, orange",3.5
"Sao Tome","67%",4,"creamy, smoke, raspberry",3.5
"Mexico","66%",4,"raisins, melon",3.75
"Colombia","69%",4,"sandy, earthy, fatty",3.25
"Brazil","70%",4,"sandy, grits, nutty, vanilla",3
"Guatemala","70%",4,"dairy, cocoa, fatty, apple",3.5
"Blend","65%",4,"chemical, salt, wtf",1.5
"Bolivia","75%",4,"sticky, cardboard,why bother",2
"Indonesia","70%",4,"leather, salt",2.5
"Dominican Republic","75%",3,"molassses, palm, spicy",2.5
"Belize","80%",4,"strawberry, cream, spice",3.25
"Tanzania","75%",3,"banana, melon, fatty",3.25
"Belize","80%",3,"woody, lemon, mild bitter",3.5
"Trinidad","70%",3,"black pepper, dairy",3.5
"Nicaragua","70%",3,"rum, herbal, rich",3.5
"Dominican Republic","75%",3,"spicy, rich, mint",3.75
"Venezuela","75%",3,"nutty, grassy, woody",3.75
"Dominican Republic","70%",3,"fatty, simple",3
"India","70%",3,"candy spices, sweet",3.25
"Peru","70%",3,"complex, true to origin",3.25
"Belize","70%",3,"grape, cocoa",3.5
"Ecuador","70%",4,"wine, brownie batter",3.5
"Ecuador","70%",4,"unrefined, burnt nuts, vanilla",2.5
"Ecuador","70%",3,"sandy, nutmeg, astringent",3
"India","74%",3,"dry, sandy, empty, sweet",3
"Brazil","76%",3,"dry, sandy, dirt, empty",3
"Panama","75%",3,"sandy, green, grassy, harsh",2.75
"India","74%",3,"unripe fruit, sour, watery",3
"Tanzania","90%",3,"sandy, bitter, sour fruit",3
"Brazil","70%",2,"intense, sour, hammy",3
"Vietnam","70%",2,"cocounut, late sour",3.25
"Madagascar","70%",2,"cocoa, mild pear, sticky",3.5
"Peru","70%",2,"grape, thick, chewy",3.75
"Ecuador","77%",3,"dry, coffee notes from roaster",2.75
"Ecuador","67%",3,"sandy, harsh, floral",2.75
"Haiti","70%",2,"gritty, sweet, earty",3.5
"Papua New Guinea","72%",2,"few grits, intense smoke",3
"Madagascar","72%",2,"tangy, roasty, ham",3.25
"India","65%",3,"sweet, licoric",3.5
"Vietnam","65%",2,"slight grainy, roasty, spicy",3.5
"Tanzania","72%",3,"complex, fruit, nut, rich",3.75
"Vietnam","70%",3,"sour fig, cocoa, creamy, fatty",3.5
"Brazil","70%",2,"coarse, smokey, citrus",3.5
"Brazil","75%",2,"sticky, blackberry, acidic",3.75
"Puerto Rico","70%",3,"powdery, intense, floral",3
"Colombia","65%",NA,"vanilla, artificial, sweet",2.5
"Belize","67%",3,"rough, sweet, dairy, vanilla",2.75
"Belize","72%",3,"strawberry, blueberry",3
"Belize","73%",3,"basic cocoa",3.25
"Brazil","72%",3,"dirty, rubbery, spicy",2.5
"Cameroon","68%",2,"earthy",3
"Sierra Leone","72%",3,"roasty, honey, sweet",3
"Dominican Republic","70%",2,"dark berry, earthy",3.5
"Tanzania","72%",2,"cocoa, fig, classic",3.75
"Madagascar","70%",3,"creamy, off note, rubbery, petro",2.75
"Dominican Republic","70%",3,"dark fruit, slight harsh molasses",3.25
"Indonesia","70%",2,"intense, smokey, floral",2.75
"Dominican Republic","70%",2,"overly intense, tart, red fruit",3
"Peru","70%",2,"dry, nutty, fruity",3.25
"Nicaragua","70%",2,"unrefined, hay, sweet",2.75
"Nicaragua","70%",2,"unrefined, bright berry, sweet",2.75
"Nicaragua","70%",3,"fatty, floral, spicy",3.25
"Dominican Republic","72%",2,"earthy, spicy, cocoa",3.5
"Philippines","76%",3,"black tea, floral",3.5
"Papua New Guinea","70%",NA,"smoke, ham, sour milk",3.25
"Mexico","70%",3,"chalky, powdery, molasses",3.25
"Peru","72%",3,"licorice, cocoa",3.5
"Ecuador","75%",2,"intense, floral, cocoa,long lasting",3.75
"Ecuador","70%",NA,"spicy, smoke, sour",3.25
"Ecuador","63%",NA,"spicy, sweet, fragrant",3.5
"Ecuador","85%",NA,"spicy, fragrant, bitter",3.5
"Mexico","70%",3,"light color, spicy, sweet, sour",3
"Nicaragua","70%",3,"grassy, spicy, sweet",3.5
"Nicaragua","80%",3,"sweet, rich",3.5
"Venezuela","70%",2,"Fruity, Roasty",3.5
"Dominican Republic","71%",2,"gritty, sweet, earthy",2.75
"Tanzania","68%",2,"dry, earthy, atypical",2.75
"Madagascar","68%",2,"sweet, molasses, gritty",2.75
"Vietnam","80%",2,"gritty, tart, molasses",3
"Costa Rica","58%",3,"too sweet, earthy, off notes",2.5
"Costa Rica","70%",3,"earthy, spicy, cocoa",3
"Grenada","71%",4,"sandy, oranges",2.5
"Blend","70%",4,"sandy, floral, spice, roasty",3.75
"Peru","78%",4,"orange, floral, caramel",3.75
"Venezuela","75%",4,"coarse, sweet, minty",2.75
"Venezuela","70%",4,"coarse, sweet",3
"Nicaragua","70%",4,"sandy, intense, tropical fruit",3.25
"Nicaragua","67%",3,"strong, rubbery, woody, sweet",2.75
"El Salvador","70%",3,"bold, savory, creamy",3.25
"U.S.A.","85%",NA,"sandy, spicy, earthy",3.5
"Peru","72%",2,"metallic, medicinal, pungent",2.25
"Dominican Republic","70%",2,"grassy, dirt, mild spice",2.5
"Madagascar","73.50%",2,"intense, pungent, sour fruit",2.5
"Ghana","70%",3,"brownie, toffee",3.5
"Dominican Republic","70%",2,"dry, sandy, sweet, acidic",3.25
"Blend","73%",5,"non descript, poor aftertaste",2
"Sao Tome","75%",5,"grassy, earthy, burnt",2.75
"Venezuela","71%",5,"pastey, complex, coffee,vanilla",3
"Blend","73%",5,"pastey, strong off flavor",1
"Trinidad","67%",5,"complex, intense banana",3.75
"Papua New Guinea","70%",5,"gritty, vanilla, non-descript",2.5
"Venezuela","72%",2,"molasses, nut, roasty, bitter",2.25
"Dominican Republic","72%",2,"molasses, rum, tea",2.75
"Madagascar","72%",2,"molasses, bright fruit",3
"Peru","72%",2,"molasses, malt, raisin",3
"Brazil","72%",2,"notes from sugar",3
"Brazil","72%",3,"molasses, earthy, flat",3
"Brazil","71%",3,"molasses, dried fruit",3.25
"Peru","75%",3,"spicy, red fruit, raisins",2.75
"Ecuador","75%",3,"single note, spicy",3.5
"Ecuador","72%",3,"floral, cocoa, creamy",3.75
"Peru","70%",3,"pungent, grape, sour",3
"Vietnam","72%",3,"spicy, vanilla, sweet",2.75
"Tanzania","72%",3,"sweet, melon notes",3
"Dominican Republic","72%",3,"basic cocoa, sour ending",3
"Fiji","74%",3,"sour, rubbery, off",2.75
"Colombia","72%",3,"strong base cocoa, rubber",3.25
"Ghana","75%",4,"nutty, high roast, spice",3
"Belize","75%",4,"coconut, mild metallic",3
"Peru","75%",4,"roasty, mild orange",3.25
"Venezuela","70%",NA,"sweet, candy like, dairy",3
"Ecuador","70%",NA,"sweet, spicy, cocoa",3
"Mexico","67%",2,"sl. sweet, basic cocoa",3
"Peru","70%",2,"grass, tobacco",3
"Madagascar","70%",2,"sl. Burnt, nutty, fruit in back",3.25
"Dominican Republic","70%",2,"orange,citrus, high astringency",3.5
"Tanzania","70%",2,"tart, lemony , high astringency",3.5
"India","70%",2,"delicate, coffee, caramel",3.75
"Nicaragua","75%",2,"fatty, honey, earthy",2.75
"Nicaragua","70%",2,"woody, coffee,roasted cherry",3
"Ecuador","80%",2,"sandy, strawberries",3.25
"Ecuador","70%",2,"earthy, roasted nuts",2.75
"Venezuela","70%",2,"intense, slightly burnt",3
"Madagascar","70%",2,"fruity, sour, high astringent",3.5
"Ghana","70%",2,"rich, cherry, smoke, cocoa",3.75
"Dominican Republic","70%",2,"rich, mild smoke, red fruit",3.75
"Nigeria","70%",3,"cocoa, nut, dried fruit, rubbery",3
"Vietnam","70%",3,"spicy, cocoa, hammy",3.25
"Brazil","70%",3,"nutty, banana, cocoa",3.5
"Jamaica","70%",5,"grassy, vanilla, burnt",2.5
"Peru","70%",2,"creamy, roasty, mild grape",3.75
"Peru","70%",2,"intense grapes, sweet cocoa",3.75
"Congo","70%",3,"melon, earthy, tobacco",3.75
"Peru","75%",3,"peanut butter, raspberry",4
"Papua New Guinea","66%",2,"smoke, sour fruit, hammy",2.75
"Papua New Guinea","70%",2,"smoke, sour fruit, hammy",3
"Papua New Guinea","88%",2,"intense, bitter, sour, smokey",3.25
"Papua New Guinea","74%",2,"smokey, intense, coffee",3.5
"Samoa","100%",1,"bitter, intense, nutty",2.75
"Samoa","70%",2,"cocoa, roasty, nutty",3.5
"Guatemala","70%",2,"damp woody, leather, cocoa",3
"Tanzania","70%",2,"sour banana, muted",3
"Uganda","70%",2,"dominant hazelnut, fudge",3.25
"India","70%",2,"intense tart, sourness",3.25
"Colombia","70%",2,"walnut, tobacco, grassy",3.25
"Bolivia","70%",2,"silky smooth, cherry, cocoa",3.75
"Vietnam","70%",2,"complex,cranberry,malt, vanilla",3.75
"Blend","100%",1,"sharp fruit, intense, sl. Sour",3
"Venezuela","80%",2,"berries, burnt, rubbery, off",3
"U.S.A.","70%",2,"burnt fudge, nutty",3.25
"Peru","70%",2,"deep cocoa, cherry, slight ashy",3.25
"Venezuela","70%",2,"strong start, fruity, acidic",3.5
"Haiti","70%",2,"blackberry, tang",3.75
"Trinidad","70%",3,"off notes, sour, roasty",2.75
"Tanzania","70%",3,"sweet,sandy, fruit, pungent",3
"Bolivia","70%",2,"rich cocoa, one dimensional",3.5
"Brazil","78%",3,"creamy, cherry, acidic",3.75
"Blend","67%",3,"sandy, cheese, sour",2.75
"Blend","75%",3,"fatty,cheese, musty",3
"Dominican Republic","72%",3,"earthy, cheesy",3
"Ghana","72%",3,"gritty, simple cocoa, burnt",3
"Blend","76%",5,"intense, medicinal, leathery",2
"Blend","76%",5,"rubber, cocoa, bitter",2.75
"Blend","85%",5,"creamy, medicinal, mint, bitter",2.75
"Blend","85%",5,"sticky, berry, bitter",3
"Ghana","80%",4,"grits, strong vanilla, brownie",2.75
"Papua New Guinea","70%",3,"intensely smokey",3
"Madagascar","66%",3,"red berry, mild molasses",3.5
"Tanzania","70%",3,"sweet, dried fruit, gateway",3.75
"Nicaragua","73%",3,"intense spice, coarse",3
"Madagascar","70%",2,"sweet, tart, raisin, sour ending",3.25
"Vietnam","70%",2,"roast dominates,spicy,astringent",3.25
"Tanzania","70%",2,"sweet edge, dried fruit, lemon",3.5
"Colombia","75%",3,"burnt honey, rubbery",2.75
"Peru","70%",3,"caramel, honey, roasty",3.25
"Peru","75%",3,"grape, punchy, deep cocoa",3.25
"Madagascar","75%",3,"tart, green apple, rich",3.5
"Belize","74%",3,"sandy, ashey, mild fruit",2.75
"Dominican Republic","72%",3,"sandy, roasty, fruity",2.75
"Nicaragua","72%",3,"grits, roasty, woody",2.75
"Dominican Republic","72%",3,"sandy, cinamon, high roast",3
"Ecuador","72%",3,"spicy, sweet, high roast",3
"Panama","71%",3,"fatty, bland, some spice",3
"Congo","70%",3,"vegetable and honey",3
"Peru","75%",3,"creamy, sour banana, lemon",3
"Bolivia","68%",3,"rich cocoa, bread notes",3.25
"Bolivia","66%",3,"creamy, melon, subtle",3.75
"Papua New Guinea","68%",3,"fatty, dates, musty",2.75
"Blend","80%",2,"creamy, mild bitter, coffee",3.25
"U.S.A.","60%",5,"muddy, pastey, sweet, vanilla",3
"U.S.A.","60%",5,"sticky, tobacco",3
"Peru","65%",4,"dry, banana, molasses",3
"Peru","72%",4,"sandy, molasses, brownie",3
"Ecuador","100%",NA,"bitter, earthy",2
"Ecuador","60%",4,"floral, rubber, vanilla, metallic",2.75
"Ecuador","72%",4,"sandy, rubber, spice, floral",3
"Ecuador","65%",4,"creamy, sweet, green",3
"Ecuador","70%",4,"sandy, green, spice, nuts",3.5
"Ecuador","70%",4,"waxy, sandy, floral",3.5
"Ecuador","85%",4,"spice, mostly bitter",2.75
"Peru","70%",4,"light color,complex,molasses",4
"Ecuador","70%",4,"floral, green, tannic",3.25
"Ecuador","70%",4,"savory, smokey",3.5
"Ecuador","70%",4,"creamy, green fruit, candied",3.75
"Ecuador","70%",4,"creamy, spicy, cocoa",4
"Colombia","70%",4,"complex, balanced",4
"Vietnam","72%",5,"molasses, tart, vegetal",3.25
"Haiti","70%",5,"vanilla, sweet, gateway",3.5
"Cuba","72%",5,"creamy, tobacco, cocoa",3.75
"Bolivia","72%",2,"vinegar, sour",2.75
"Ecuador","75%",2,"earthy, nutty, black pepper",2.75
"Blend","75%",2,"intense floral, slight woody",3.5
"Madagascar","78%",2,"red fruit, intense, bright",3.75
"Trinidad","70%",2,"mellow, fruity, brownie",3.75
"Bolivia","70%",2,"slow, sweet, spicy",3.25
"Trinidad","70%",2,"maple, spicy, cocoa",3.25
"Tanzania","72%",2,"rich cocoa, dried fruit",3.5
"Vietnam","72%",2,"cocoa, melon, dairy",3.75
"Guatemala","70%",2,"fruity, off rubber",2.75
"Belize","72%",2,"strawberry, savory",3
"Peru","72%",2,"grape, pungent, off sour",2.75
"Dominican Republic","75%",2,"creamy, burnt rubber, off",2.75
"Haiti","70%",2,"sticky, bold, nutty, fig",3.5
"Peru","70%",2,"intense spicy, floral",3.5
"Fiji","76%",2,"intense, bitter, spicy",3
"Bolivia","76%",2,"harsh, tobacco, roasty",2.75
"Philippines","76%",2,"burnt caramel, coffee",3
"Belize","75%",2,"fig, sour, rubbery",3.25
"Madagascar","76%",2,"fruit, sour, roasty",3.25
"Dominican Republic","76%",2,"cocoa, earthy, roasty",3.25
"Peru","71%",2,"sandy, fruit, cocoa, sour",3.5
"Blend","65%",3,"mild nutty, basic cocoa",3.5
"Bolivia","70%",2,"gritty, woody, acidic",3
"Dominican Republic","70%",2,"mild spice, grapes",3.5
"Guatemala","70%",2,"intense, blackberry, acidic",3.5
"Tanzania","70%",2,"sour, earthy, roasty",3.25
"Guatemala","75%",3,"fatty, woody, poor aftertaste",2.75
"Dominican Republic","75%",3,"rubbery, buttery, soil",2.75
"Colombia","75%",3,"nut, roasty, high astringent",3
"Peru","55%",4,"gritty, sweet, off",2.5
"Peru","70%",4,"gritty, earthy, melon",2.75
"Madagascar","70%",3,"mild tart, wine, red fruit, long",4
"Madagascar","67%",3,"creamy, fruit forward, rich",3.5
"Venezuela","70%",3,"earthy, nutty",3.5
"Madagascar","75%",3,"simple red berry, rich, long",4
"Blend","70%",3,"smooth, red berry, cocoa",3.75
"Peru","67%",3,"creamy, cocoa, grapes",4
"Madagascar","73%",2,"sticky, mild citrus, earthy",2.25
"Madagascar","64%",2,"coarse, sweet, tart, earthy",2.75
"Dominican Republic","82%",3,"coarse, earthy, sweet",3
"Fiji","75%",3,"mild smokey, black licorice",3
"Peru","70%",4,"off aroma, anise, dried fruit",3.25
"Indonesia","72%",5,"red fruit, smokey, sour",3
"Venezuela","72%",5,"rich cocoa, marshmallow",3.75
"Mexico","72%",5,"mild tart, long and rich",4
"Blend","85%",5,"cinamon, bitter aftertaste",3.5
"Ecuador","72%",5,"creamy, cocoa, grassy",3.75
"Blend","70%",5,"rich cocoa, tart citrus",4
"Madagascar","72%",5,"tangy, floral, spicy, cocoa",4
"Brazil","72%",5,"smokey, floral, mild",3
"Mexico","72%",5,"bland, subtle dairy, burning",3
"Venezuela","75%",5,"strong vanilla, nutty, spicey",3
"Peru","85%",5,"bitter, coffee, cocoa",3
"Trinidad","75%",5,"berry notes with sweet edge",3.25
"Cuba","78%",5,"chunky, rich and spicy",3.75
"Cameroon","70%",5,"mild fruit, woody",3.25
"Madagascar","76%",4,"powdery, roasty, off flavor",3
"Cameroon","70%",4,"rich cocoa, off flavor",3
"China","72%",4,"fruity, rich, grassy",3.5
"Vietnam","70%",3,"swiss miss, pistachio, rich",3
"Tanzania","70%",3,"sweet, cream, cherry, rich",3.5
"India","73%",3,"creamy, fruity, mocha",3.5
"Honduras","80%",4,"banana, earthy ending",2.5
"Fiji","73%",2,"intense smoke, medicinal",2.5
"Madagascar","73%",2,"intense, dried fruit, roasty",3.25
"Ecuador","73%",2,"tobacco, woody, rum",3.25
"Ecuador","73%",2,"intense, floral, leather",3.5
"Nicaragua","62%",3,"coarse, earthy, metal, sweet",2.5
"Nicaragua","80%",2,"dry, sandy, earthy, leathery",2.75
"Nicaragua","80%",3,"metal, earthy, pungent",2.75
"Nicaragua","80%",3,"metal, molasses, roasty",2.75
"Nicaragua","80%",2,"chunky, dairy, nutty, rich",3.25
